Name,Date,Period,School,Sport
"Turk, Mike H. ",2018-2019,Aug 2017 - Oct 2018 ,University of Illinois Urbana-Champaign ,Women's Cross Country 
"Turk, Mike H. ",2018-2019,Jul 2011 -  ,University of Illinois Urbana-Champaign ,"Men's Track, Outdoor "
"Turk, Mike H. ",2018-2019,Nov 2018 - Nov 2020 ,University of Illinois Urbana-Champaign ,Men's Cross Country 
"Turk, Mike H. ",2018-2019,Aug 2017 -  ,University of Illinois Urbana-Champaign ,"Women's Track, Outdoor "
"Turk, Mike H. ",2018-2019,Aug 2017 -  ,University of Illinois Urbana-Champaign ,"Women's Track, Indoor "
"Turner Thorne, Charli ",2018-2019,Aug 1996 -  ,Arizona State University ,Women's Basketball 
"Turner, Cassandra ",2018-2019,Jun 2015 -  ,Quinnipiac University ,Women's Ice Hockey 
"Turner, Ginny ",2018-2019,Aug 2009 - Apr 2019 ,Davidson College ,Field Hockey 
"Turner, Kerrie ",2018-2019,Aug 2007 -  ,Bowling Green State University ,Women's Gymnastics 
"Turner, Krissy ",2018-2019,Aug 1998 -  ,Monmouth University ,Women's Soccer 
"Turner, Peter ",2018-2019,Nov 2006 -  ,San Jose State University ,Softball 
"Turner, Rechelle ",2018-2019,Apr 2017 -  ,Murray State University ,Women's Basketball 
"Turner, Russell ",2018-2019,Jul 2010 -  ,"University of California, Irvine ",Men's Basketball 
"Twiggs, Shantel ",2018-2019,Oct 2004 -  ,"University of Nevada, Reno ","Women's Track, Outdoor "
"Twiggs, Shantel ",2018-2019,Oct 2004 -  ,"University of Nevada, Reno ","Women's Track, Indoor "
"Tyburski, Keith ",2018-2019,Aug 2006 -  ,Colgate University ,Men's Golf 
"Tyler, Matthew ",2018-2019,Sep 2013 -  ,Bradley University ,Women's Tennis 
"Tyler, Tacho ",2018-2019,Feb 2015 -  ,Prairie View A&M University ,Women's Volleyball 
"Tylka, Jeff ",2018-2019,Aug 2014 - Jul 2019 ,Loyola University Chicago ,Softball 
"Tyner, Matt ",2018-2019,Aug 2017 -  ,Towson University ,Baseball 
"Tyrrell, Kevin ",2018-2019,May 2014 -  ,Harvard University ,Men's Swimming and Diving 
"Tyson, Derek ",2018-2019,Jul 2012 -  ,Saint Francis University (Pennsylvania) ,Men's Golf 
"Tyson, Pat ",2018-2019,Feb 2012 -  ,Gonzaga University ,"Men's Track, Indoor "
"Tyson, Pat ",2018-2019,Jun 2008 -  ,Gonzaga University ,Men's Cross Country 
"Tyson, Pat ",2018-2019,Jun 2008 -  ,Gonzaga University ,"Men's Track, Outdoor "
"Tyson, Victoria ",2018-2019,Dec 2018 -  ,Howard University ,Softball 
"Ubiparipovic, Sinisa ",2018-2019,Jun 2019 -  ,Cleveland State University ,Men's Soccer 
"Ubrun, Lindsey ",2018-2019,Sep 2017 -  ,Wagner College ,Softball 
"Udwadia, Jay ",2018-2019,Aug 2012 -  ,Oklahoma State University ,Men's Tennis 
"Ulehla, Jennifer ",2018-2019,Jul 2019 -  ,George Washington University ,Women's Lacrosse 
"Ulmer, Matt ",2018-2019,May 2017 -  ,University of Oregon ,Women's Volleyball 
"Ulmer, Matt ",2018-2019,Jan 2017 - May 2020 ,University of Oregon ,Women's Beach Volleyball 
"Umeck, Gina ",2018-2019,Oct 2013 -  ,"California State University, Northridge ",Women's Golf 
"Underwood, Brad ",2018-2019,Apr 2017 -  ,University of Illinois Urbana-Champaign ,Men's Basketball 
"Ustundag, Efe ",2018-2019,Jul 2012 -  ,Rice University ,Men's Tennis 
"Utesch, Debbie ",2018-2019,Oct 1997 -  ,Lehigh University ,Women's Cross Country 
"Utesch, Matt ",2018-2019,Sep 1997 -  ,Lehigh University ,"Men's Track, Indoor "
"Utesch, Matt ",2018-2019,Sep 1997 -  ,Lehigh University ,"Women's Track, Outdoor "
"Utesch, Matt ",2018-2019,Sep 1997 -  ,Lehigh University ,"Men's Track, Outdoor "
"Utesch, Matt ",2018-2019,Sep 1997 -  ,Lehigh University ,"Women's Track, Indoor "
"Vachon, Amy ",2018-2019,Jun 2017 -  ,University of Maine ,Women's Basketball 
"Valentino, Laura ",2018-2019,Aug 2019 -  ,University of Connecticut ,Softball 
"Valenzuela, Eric ",2018-2019,Jul 2019 -  ,Long Beach State University ,Baseball 
"Valenzuela, Eric ",2018-2019,Sep 2013 - Jul 2019 ,Saint Mary's College of California ,Baseball 
"Valis, Garrett ",2018-2019,Aug 2018 -  ,Sam Houston State University ,Softball 
"Vallejos, Stephanie ",2018-2019,Sep 2015 -  ,University of Louisiana at Lafayette ,Women's Tennis 
"Valley, Morgan ",2018-2019,May 2019 -  ,University of Hartford ,Women's Basketball 
"Valmon, Andrew ",2018-2019,May 2003 -  ,"University of Maryland, College Park ","Men's Track, Outdoor "
"Valmon, Andrew ",2018-2019,May 2003 -  ,"University of Maryland, College Park ","Women's Track, Outdoor "
"Valmon, Andrew ",2018-2019,May 2003 -  ,"University of Maryland, College Park ","Women's Track, Indoor "
"Valmon, Andrew ",2018-2019,May 2003 -  ,"University of Maryland, College Park ",Women's Cross Country 
"Van Alstyne, Mark ",2018-2019,Aug 2012 - Sep 2018 ,"University of North Carolina, Chapel Hill ",Men's Cross Country 
"Van Alstyne, Mark ",2018-2019,Aug 2012 - Sep 2018 ,"University of North Carolina, Chapel Hill ",Women's Cross Country 
"Van Buskirk, Peter ",2018-2019,Aug 2004 - Jun 2019 ,College of the Holy Cross ,Women's Ice Hockey 
"Van Der Merwe, Sydney ",2018-2019,Sep 2016 -  ,Sacred Heart University ,Field Hockey 
"Van Dyke, Nicole ",2018-2019,Apr 2015 - Feb 2020 ,University of Pennsylvania ,Women's Soccer 
"Van Fleet, Beth ",2018-2019,Aug 2013 -  ,Georgia State University ,Women's Beach Volleyball 
"Van Horn, Dave ",2018-2019,Jul 2002 -  ,"University of Arkansas, Fayetteville ",Baseball 
"Van Ormer, Ralph ",2018-2019,Feb 2016 -  ,Lafayette College ,Women's Tennis 
"Van Ormer, Ralph ",2018-2019,Feb 2016 -  ,Lafayette College ,Men's Tennis 
"Van Vark, Jay ",2018-2019,Mar 2018 - Feb 2019 ,Nicholls State University ,Women's Volleyball 
"Van Vark, Jay ",2018-2019,Oct 2018 - Feb 2019 ,Nicholls State University ,Women's Beach Volleyball 
"Van Wyk, Kathy ",2018-2019,Aug 2003 -  ,San Diego State University ,Softball 
"VanDenBorn, J.W. ",2018-2019,Oct 2003 -  ,University of Missouri-Kansas City ,Men's Golf 
"VanDerveer, Tara ",2018-2019,Jun 1985 -  ,Stanford University ,Women's Basketball 
"VanEveren, Doug ",2018-2019,Sep 1991 -  ,U.S. Military Academy ,Men's Gymnastics 
"VanHerwaarden, Tjerk ",2018-2019,Aug 2012 -  ,Harvard University ,Field Hockey 
"VanWagner, Larry ",2018-2019,Aug 2003 -  ,Marist College ,Men's Swimming and Diving 
"VanWagner, Larry ",2018-2019,Aug 2003 -  ,Marist College ,Women's Swimming and Diving 
"Vandamme, Casey ",2018-2019,Feb 2015 -  ,South Dakota State University ,Women's Golf 
"Vandamme, Casey ",2018-2019,Feb 2015 -  ,South Dakota State University ,Men's Golf 
"VandeBerg, Trudy ",2018-2019,Mar 2015 -  ,Cornell University ,Women's Volleyball 
"Vanderhook, Rick ",2018-2019,Jul 2011 -  ,"California State University, Fullerton ",Baseball 
"Vanderspiegel, Lindsey ",2018-2019,Jun 2013 -  ,Virginia Commonwealth University ,Women's Soccer 
"Vanderzell, Scott ",2018-2019,Oct 2008 -  ,Canisius College ,Women's Swimming and Diving 
"Vanderzell, Scott ",2018-2019,Oct 2008 -  ,Canisius College ,Men's Swimming and Diving 
"Vanhootegem, James ",2018-2019,Aug 2013 - Dec 2019 ,University of Oklahoma ,"Men's Track, Indoor "
"Vanhootegem, James ",2018-2019,Aug 2013 - Dec 2019 ,University of Oklahoma ,Men's Cross Country 
"Vanhootegem, James ",2018-2019,Aug 2013 - Dec 2019 ,University of Oklahoma ,"Women's Track, Indoor "
"Vanhootegem, James ",2018-2019,Aug 2013 - Dec 2019 ,University of Oklahoma ,"Men's Track, Outdoor "
"Vanhootegem, James ",2018-2019,Aug 2013 - Dec 2019 ,University of Oklahoma ,"Women's Track, Outdoor "
"Vanhootegem, James ",2018-2019,Aug 2013 - Dec 2019 ,University of Oklahoma ,Women's Cross Country 
"Varga, Mike ",2018-2019,Jan 2014 -  ,Gardner-Webb University ,Women's Soccer 
"Vargas, Carlos ",2018-2019,Aug 2010 -  ,New Mexico State University ,Men's Tennis 
"Vargas, John ",2018-2019,Dec 2002 -  ,Stanford University ,Men's Water Polo 
"Vargas, Rolando ",2018-2019,Jul 2018 -  ,Troy University ,Men's Tennis 
"Vasalakis, Bren ",2018-2019,Aug 2019 -  ,Indiana University-Purdue University Indianapolis ,Men's Tennis 
"Vaughan, Don ",2018-2019,Aug 1992 -  ,Colgate University ,Men's Ice Hockey 
"Vaughn, Matt ",2018-2019,Sep 2011 -  ,"University of California, Davis ",Baseball 
"Vaughn, Rob ",2018-2019,Jul 2017 -  ,"University of Maryland, College Park ",Baseball 
"Vavic, Jovan ",2018-2019,Aug 1999 - Apr 2019 ,University of Southern California ,Men's Water Polo 
"Vavic, Jovan ",2018-2019,Aug 1999 - Apr 2019 ,University of Southern California ,Women's Water Polo 
"Vazquez, Jose ",2018-2019,Aug 2016 -  ,Alabama State University ,Baseball 
"Vazquez, Lenika ",2018-2019,Mar 2016 - May 2020 ,Canisius College ,Women's Volleyball 
"Vecchio, Sebastian ",2018-2019,Apr 2018 -  ,"California State University, Bakersfield ",Women's Soccer 
"Veinotte, Courtney ",2018-2019,Apr 2019 -  ,Hofstra University ,Field Hockey 
"Veitch, Hayley ",2018-2019,Apr 2011 -  ,Tulane University ,Women's Bowling 
"Velez-Perez, Esai ",2018-2019,Jul 2019 -  ,Iona College ,Women's Volleyball 
"Veltri, Peter ",2018-2019,Nov 1999 -  ,Niagara University ,Women's Soccer 
"Vendel, Betsy ",2018-2019,Nov 2018 -  ,Central Connecticut State University ,Women's Lacrosse 
"Venechanos, Alexis ",2018-2019,Aug 2010 - Jul 2019 ,The Ohio State University ,Women's Lacrosse 
"Vera, Lindsay ",2018-2019,Jul 2018 - Apr 2019 ,University of North Carolina Asheville ,Women's Soccer 
"Vera, Lindsay ",2018-2019,Aug 2019 -  ,Texas Southern University ,Women's Soccer 
"Verbanic, Joe ",2018-2019,Oct 2004 - Jul 2020 ,George Mason University ,Softball 
"Verdi, Tory ",2018-2019,May 2016 -  ,"University of Massachusetts, Amherst ",Women's Basketball 
"Verlin, Don ",2018-2019,Apr 2008 - Jul 2019 ,University of Idaho ,Men's Basketball 
"Vernon, Courtney ",2018-2019,Oct 2013 -  ,Florida Gulf Coast University ,Women's Tennis 
"Versyp, Sharon ",2018-2019,May 2006 -  ,Purdue University ,Women's Basketball 
"Vesley, Kristin ",2018-2019,Jul 2016 -  ,University of Houston ,Softball 
"Vest, David ",2018-2019,Sep 2007 -  ,Samford University ,Women's Tennis 
"Vettori, Katherine ",2018-2019,Feb 2018 -  ,Towson University ,Women's Soccer 
"Viator, Matt ",2018-2019,Jan 2016 -  ,University of Louisiana Monroe ,Football 
"Vickers, Larry ",2018-2019,Feb 2016 -  ,Norfolk State University ,Women's Basketball 
"Victor, Gary ",2018-2019,Aug 2003 -  ,"California State University, Northridge ",Women's Tennis 
"Vidale, Chris ",2018-2019,Sep 2016 -  ,Marist College ,Women's Water Polo 
"Vidovich, Jay ",2018-2019,Jan 2016 -  ,University of Pittsburgh ,Men's Soccer 
"Viggiano, Matt ",2018-2019,Sep 2006 -  ,Marist College ,Men's Soccer 
"Vigilante, Jason ",2018-2019,Sep 2012 -  ,Princeton University ,Men's Cross Country 
"Vigness, Brent ",2018-2019,Aug 1993 -  ,Creighton University ,Softball 
"Villarial, Chris ",2018-2019,Sep 2010 -  ,Saint Francis University (Pennsylvania) ,Football 
"Villucci, Valerie ",2018-2019,Nov 2016 - Aug 2019 ,Bethune-Cookman University ,Women's Tennis 
"Villucci, Valerie ",2018-2019,Nov 2016 - Aug 2019 ,Bethune-Cookman University ,Men's Tennis 
"Vincent, Natasha ",2018-2019,Aug 2012 -  ,University of Central Arkansas ,Women's Golf 
"Vines, Bryan ",2018-2019,Aug 2017 -  ,Rensselaer Polytechnic Institute ,Women's Ice Hockey 
"Vining, John ",2018-2019,Aug 2018 -  ,University of South Dakota ,Men's Golf 
"Vitello, Tony ",2018-2019,Jul 2017 -  ,"University of Tennessee, Knoxville ",Baseball 
"Vives, Roberto ",2018-2019,Aug 2003 -  ,University at Albany ,"Men's Track, Outdoor "
"Vives, Roberto ",2018-2019,Aug 2003 -  ,University at Albany ,"Men's Track, Indoor "
"Vives, Roberto ",2018-2019,Oct 1985 -  ,University at Albany ,"Women's Track, Indoor "
"Vives, Roberto ",2018-2019,Oct 1985 -  ,University at Albany ,"Women's Track, Outdoor "
"Voelker, Brian ",2018-2019,Aug 2009 -  ,Drexel University ,Men's Lacrosse 
"Vogel, Joe ",2018-2019,Aug 2006 -  ,Florida International University ,Women's Golf 
"Volkert, Pete ",2018-2019,Mar 2014 - Feb 2019 ,New Jersey Institute of Technology ,Women's Volleyball 
"Volpe, Genny ",2018-2019,Mar 2004 -  ,Rice University ,Women's Volleyball 
"Volta, Ruben ",2018-2019,Mar 2013 -  ,"California State University, Sacramento ",Women's Beach Volleyball 
"Volta, Ruben ",2018-2019,Aug 2008 -  ,"California State University, Sacramento ",Women's Volleyball 
"Vom Steeg, Tim ",2018-2019,Aug 2003 -  ,"University of California, Santa Barbara ",Men's Soccer 
"Voris, Jeff ",2018-2019,Feb 2006 -  ,Butler University ,Football 
"Voss, Chuck ",2018-2019,Aug 2000 -  ,Cleveland State University ,Women's Volleyball 
"Vowell, Mary ",2018-2019,Jul 2018 -  ,University of Tennessee at Martin ,Mixed Rifle 
"Vulin, Heather ",2018-2019,Aug 2016 -  ,Manhattan College ,Women's Basketball 
"Waagbo, Kristen ",2018-2019,Aug 2015 -  ,U.S. Military Academy ,Women's Lacrosse 
"Wachenheim, Scott ",2018-2019,Jan 2015 -  ,Virginia Military Institute ,Football 
"Wachholz, Scott ",2018-2019,Sep 2016 - Oct 2019 ,University of Wisconsin-Green Bay ,Softball 
"Wade, Jeffery Charles ",2018-2019,Jul 2009 -  ,"University of Hawaii, Manoa ",Men's Volleyball 
"Wade, Will ",2018-2019,Mar 2017 -  ,Louisiana State University ,Men's Basketball 
"Wade, Yvonne ",2018-2019,Sep 2007 -  ,"University of Nevada, Las Vegas ","Women's Track, Indoor "
"Wade, Yvonne ",2018-2019,Aug 2019 -  ,"University of Nevada, Las Vegas ",Women's Cross Country 
"Wade, Yvonne ",2018-2019,Sep 2007 -  ,"University of Nevada, Las Vegas ","Women's Track, Outdoor "
"Waeger, Andrew I. ",2018-2019,Sep 2014 - Apr 2019 ,Colgate University ,Women's Swimming and Diving 
"Waeger, Andrew I. ",2018-2019,Sep 2014 - Apr 2019 ,Colgate University ,Men's Swimming and Diving 
"Wagar, Justin ",2018-2019,Jul 2017 - Feb 2021 ,Grambling State University ,Women's Soccer 
"Waggoner, Jeff ",2018-2019,Sep 2006 -  ,Marshall University ,Baseball 
"Wagner, Rob ",2018-2019,Aug 2016 -  ,University of South Dakota ,Softball 
"Wahlig, Carisa ",2018-2019,Jun 2018 -  ,Brown University ,Women's Ice Hockey 
"Waite, Ryan ",2018-2019,Oct 2018 -  ,University of Delaware ,Women's Cross Country 
"Waldo, Jeannette ",2018-2019,Feb 2018 -  ,Tennessee Technological University ,Women's Volleyball 
"Waldron, Renny ",2018-2019,Sep 2014 -  ,Davidson College ,"Men's Track, Outdoor "
"Waldron, Renny ",2018-2019,Sep 2014 -  ,Davidson College ,"Men's Track, Indoor "
"Waldron, Renny ",2018-2019,Sep 2014 -  ,Davidson College ,Men's Cross Country 
"Waldrum, Randy ",2018-2019,Jan 2018 -  ,University of Pittsburgh ,Women's Soccer 
"Walker III, Monroe ",2018-2019,Feb 2015 - Jan 2019 ,Tennessee State University ,Men's Tennis 
"Walker III, Monroe ",2018-2019,Feb 2019 - Jun 2019 ,Southern Utah University ,Women's Tennis 
"Walker III, Monroe ",2018-2019,Feb 2015 - Jan 2019 ,Tennessee State University ,Women's Tennis 
"Walker, Anne ",2018-2019,Aug 2012 -  ,Stanford University ,Women's Golf 
"Walker, Chris ",2018-2019,Feb 2013 -  ,University of North Alabama ,Women's Soccer 
"Walker, Darrell ",2018-2019,May 2018 -  ,University of Arkansas at Little Rock ,Men's Basketball 
"Walker, John ",2018-2019,Apr 1994 -  ,"University of Nebraska, Lincoln ",Women's Soccer 
"Walker, John  ",2018-2019,Jun 2018 - Aug 2020 ,Abilene Christian University ,Women's Tennis 
"Walker, Lee Taylor ",2018-2019,Jul 2014 -  ,Texas Christian University ,Women's Tennis 
"Walker, Lori ",2018-2019,Mar 1998 -  ,The Ohio State University ,Women's Soccer 
"Walker, Ray ",2018-2019,Aug 2017 - Oct 2018 ,University of Arkansas at Little Rock ,Women's Cross Country 
"Walker, Ray ",2018-2019,Aug 2017 - Oct 2018 ,University of Arkansas at Little Rock ,Men's Cross Country 
"Walker, Rick ",2018-2019,Aug 1992 - Aug 2019 ,Southern Illinois University at Carbondale ,Men's Swimming and Diving 
"Walker, Rick ",2018-2019,Mar 2008 - Aug 2019 ,Southern Illinois University at Carbondale ,Women's Swimming and Diving 
"Walker, Steve ",2018-2019,Feb 2013 -  ,University of Arizona ,Women's Beach Volleyball 
"Walker, Tavius 'T.J.' ",2018-2019,Mar 2016 -  ,North Carolina Central University ,Women's Cross Country 
"Walker, Tavius 'T.J.' ",2018-2019,Mar 2016 -  ,North Carolina Central University ,"Women's Track, Indoor "
"Walker, Tavius 'T.J.' ",2018-2019,Mar 2016 -  ,North Carolina Central University ,Men's Cross Country 
"Walker, Tavius 'T.J.' ",2018-2019,Mar 2016 -  ,North Carolina Central University ,"Men's Track, Outdoor "
"Walker, Tavius 'T.J.' ",2018-2019,Mar 2016 -  ,North Carolina Central University ,"Men's Track, Indoor "
"Walker, Tavius 'T.J.' ",2018-2019,Mar 2016 -  ,North Carolina Central University ,"Women's Track, Outdoor "
"Walker-Johnson, Ashley ",2018-2019,Jun 2017 -  ,Mississippi Valley State University ,Women's Basketball 
"Walker-Weinstein, Acacia ",2018-2019,Jul 2012 -  ,Boston College ,Women's Lacrosse 
"Wallace, Emma ",2018-2019,Jul 2013 - Nov 2018 ,American University ,Women's Lacrosse 
"Wallace, Jeff ",2018-2019,Aug 1985 -  ,University of Georgia ,Women's Tennis 
"Wallace, Jon ",2018-2019,Aug 1999 - Aug 2019 ,Santa Clara University ,Women's Volleyball 
"Wallace, Jon ",2018-2019,Feb 2017 - May 2020 ,Santa Clara University ,Women's Beach Volleyball 
"Waller, Chris ",2018-2019,Jun 2019 -  ,"University of California, Los Angeles ",Women's Gymnastics 
"Wallis, Ben ",2018-2019,Feb 2019 -  ,University of Texas at El Paso ,Women's Volleyball 
"Wallman, Clint ",2018-2019,Aug 2004 -  ,"Indiana University, Bloomington ",Women's Golf 
"Wallor, Bryce ",2018-2019,Sep 2009 -  ,University of Central Florida ,Men's Golf 
"Walseth, Maren ",2018-2019,May 2014 - Apr 2019 ,North Dakota State University ,Women's Basketball 
"Walsh, Erica ",2018-2019,Mar 2007 -  ,Pennsylvania State University ,Women's Soccer 
"Walsh, Ian ",2018-2019,Nov 2018 -  ,Marshall University ,Women's Swimming and Diving 
"Walsh, Kyle ",2018-2019,Sep 2015 - Oct 2019 ,Indiana State University ,Women's Cross Country 
